2026-09-24T11:51:15.002+03:00 [s1] [O] [SYS] CHATTER NODE LoRa-Chatter-1B44
2026-09-24T11:55:35.102+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:36.093+03:00 [s1] [O] [LNK OK]   RX  -57/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:37.170+03:00 [s1] [O] [LNK OK]   RX  -58/6 Q97  TX  -58/5 Q75
2026-09-24T11:55:38.116+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:39.107+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:40.141+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:41.088+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:42.123+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:42.529+03:00 [s1] [O] [DIAG] 225B TX=92 RX=90 CRC=1 HDR=0 NRP=1 [30S] TX=29 RX=28 CRC=1 HDR=0 NRP=0 RQ=97 TQ=75
2026-09-24T11:55:43.112+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:44.102+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:45.135+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:46.127+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/6 Q75
2026-09-24T11:55:47.118+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q100 TX  -58/6 Q75
2026-09-24T11:55:48.107+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q100 TX  -58/6 Q75
2026-09-24T11:55:49.143+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q100 TX  -58/5 Q75
2026-09-24T11:55:50.132+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q100 TX  -58/6 Q75
2026-09-24T11:55:50.523+03:00 [s2] [I] /config
2026-09-24T11:55:50.525+03:00 [s1] [I] /diag off
2026-09-24T11:55:50.605+03:00 [s2] [O] [SYS] CFG schema=2 storage=NVS freq_oob=OFF
2026-09-24T11:55:50.608+03:00 [s2] [O] [SYS] CFG RADIO power=2 dBm freq=470 MHz sf=7 bw=500 kHz
